Name,Position Title,Agency Name,Agency Website,Nomination Date,Renomination,Confirmation Vote,Confirmed,Holdover
"Thompson, James Alfred",United States Marshal for the District of Utah,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),07/14/2010,,08-05-10,1,
"Fowler, James Thomas",United States Marshal for the Eastern District of Tennessee,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),06/17/2010,,08-05-10,1,
"Thayer, Craig",United States Marshal for the Eastern District of Washington,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),06/17/2010,,08-05-10,1,
"Ericks, Mark Lloyd",United States Marshal for the Western District of Washington,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),06-09-10,,08-05-10,1,
"Faughnan, Joseph Patrick",United States Marshal for the District of Connecticut,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),06-09-10,,08-05-10,1,
"Oglesby, Harold Michael",United States Marshal for the Western District of Arkansas,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),06-09-10,,08-05-10,1,
"O'Keefe, Donald Martin",United States Marshal for the Northern District of California,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),06-09-10,,08-05-10,1,
"Ihlenfeld, William",United States Attorney for the Northern District of West Virginia,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),05/27/2010,,08-05-10,1,
"Vaudreuil, John William",United States Attorney for the Western District of Wisconsin,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),05/27/2010,,08-05-10,1,
"Hickton, David",United States Attorney for the Western District of Pennsylvania,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),05/20/2010,,08-05-10,1,
"Kagan, Elena",Associate Justice of the Supreme Court of the United States,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05-10-10,,08-05-10,1,
"Grissom, Barry R.",United States Attorney for the District of Kansas,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),04/28/2010,,08-05-10,1,
"Baylor, Arthur",United States Marshal for the Middle District of Alabama,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),04/14/2010,,08-05-10,1,
"Stanton, Edward L.",United States Attorney for the Western District of Tennessee,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),04/14/2010,,08-05-10,1,
"Walsh, John F.",United States Attorney for the District of Colorado,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),04/14/2010,,08-05-10,1,
"Wigginton, Stephen R.",United States Attorney for the Southern District of Illinois,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),04/14/2010,,08-05-10,1,
"Haag, Melinda L.",United States Attorney for the Northern District of California,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),03/25/2010,,08-05-10,1,
"Stark, Leonard P.",United States District Judge for the District of Delaware,Federal Judiciary,Federal Judges (http://www.uscourts.gov),03/17/2010,,08-05-10,1,
"Stafford, Willie R.",United States Marshal for the Middle District of North Carolina,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),03-03-10,,08-05-10,1,
"Purdon, Timothy Q.",United States Attorney for the District of North Dakota,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),02-04-10,,08-05-10,1,
"Childs, J. Michelle",United States District Judge for the District of South Carolina,Federal Judiciary,Federal Judges (http://www.uscourts.gov),12/22/2009,,08-05-10,1,
"Gergel, Richard Mark",United States District Judge for the District of South Carolina,Federal Judiciary,Federal Judges (http://www.uscourts.gov),12/22/2009,,08-05-10,1,
"Wynn, James",United States Circuit Judge for the Fourth Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),11-04-09,,08-05-10,1,
"Coleman, Sharon Johnson",United States District Judge for the Northern District of Illinois,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02/24/2010,,07-12-10,1,
"Feinerman, Gary Scott",United States District Judge for the Northern District of Illinois,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02/24/2010,,06/28/2010,1,
"Dunne, Charles Gillen",United States Marshal for the Eastern District of New York,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),04/29/2010,,06/22/2010,1,
"Carr, Kevin",United States Marshal for the Eastern District of Wisconsin,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),04/14/2010,,06/22/2010,1,
"Cazayoux, Donald",United States Attorney for the Middle District of Louisiana,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),04/14/2010,,06/22/2010,1,
"Harrison, Kevin C.",United States Marshal for the Middle District of Louisiana,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),04/14/2010,,06/22/2010,1,
"Marsh, Pamela Cothran",United States Attorney for the Northern District of Florida,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),04/14/2010,,06/22/2010,1,
"Smith, Peter J.",United States Attorney for the Middle District of Pennsylvania,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),04/14/2010,,06/22/2010,1,
"Whitehorn, Henry L.",United States Marshal for the Western District of Louisiana,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),04/14/2010,,06/22/2010,1,
"Edelman, Todd E.",Associate Judge of the Superior Court of the District of Columbia,District of Columbia Courts,D.C. Judges (http://www.dccourts.gov/dccourts/index.jsp),03/25/2010,,06/22/2010,1,
"Lewis, James A.",United States Attorney for the Central District of Illinois,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),03/25/2010,,06/22/2010,1,
"Smith, Judith Anne",Associate Judge of the Superior Court of the District of Columbia,District of Columbia Courts,D.C. Judges (http://www.dccourts.gov/dccourts/index.jsp),03/25/2010,,06/22/2010,1,
"Delahanty, Thomas Edward",United States Attorney for the District of Maine,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),03-10-10,,06/22/2010,1,
"Olson, Wendy J.",United States Attorney for the District of Idaho,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),03-10-10,,06/22/2010,1,
"Lee, Milton C.",Associate Judge of the Superior Court of the District of Columbia,District of Columbia Courts,D.C. Judges (http://www.dccourts.gov/dccourts/index.jsp),01/20/2010,,06/22/2010,1,
"Goldsmith, Mark A.",United States District Judge for the Eastern District of Michigan,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02-04-10,,06/21/2010,1,
"Treadwell, Marc Thomas",United States District Judge for the Middle District of Georgia,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02-04-10,,06/21/2010,1,
"Tucker, Josephine Staton",United States District Judge for the Central District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02-04-10,,06/21/2010,1,
"Lynch, Gerard",United States Circuit Judge for the Second Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),04-02-09,,09/17/2009,1,
"Foote, Elizabeth Erny",United States District Judge for the Western District of Louisiana,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02-04-10,,06/15/2010,1,
"Pratt, Tanya Walton",United States District Judge for the Southern District of Indiana,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01/20/2010,,06/15/2010,1,
"Jackson, Brian Dion",United States District Judge for the Middle District of Louisiana,Federal Judiciary,Federal Judges (http://www.uscourts.gov),10/29/2009,,06/15/2010,1,
"Fleissig, Audrey Goldstein",United States District Judge for the Eastern District of Missouri,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01/20/2010,,06-07-10,1,
"Koh, Lucy",United States District Judge for the Northern District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01/20/2010,,06-07-10,1,
"Magnus-Stinson, Jane",United States District Judge for the Southern District of Indiana,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01/20/2010,,06-07-10,1,
"McPherson, Darryl K.",United States Marshal for the Northern District of Illinois,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),04/14/2010,,05/28/2010,1,
"Duffy, Laura E.",United States Attorney for the Southern District of California,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),02/24/2010,,05/28/2010,1,
"Parker, Scott",United States Marshal for the Eastern District of North Carolina,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),02-04-10,,05/28/2010,1,
"Finley, Stephanie",United States Attorney for the Western District of Louisiana,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),01/20/2010,,05/28/2010,1,
"Miyamoto, Gervin",United States Marshal for the District of Hawaii,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),01/20/2010,,05/28/2010,1,
"Neville, Dallas Stephen",United States Marshal for the Western District of Wisconsin,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),03/25/2010,,05/25/2010,1,
"Foster, John Dale",United States Marshal for the Southern District of West Virginia,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),02/24/2010,,05/25/2010,1,
"Gaskins, Gary Michael",United States Marshal for the Northern District of West Virginia,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),02/24/2010,,05/25/2010,1,
"Forestal, Kerry",United States Marshal for the Southern District of Indiana,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),02-04-10,,05/25/2010,1,
"Goodwin, Robert Booth",United States Attorney for the Southern District of West Virginia,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),01/20/2010,,05/25/2010,1,
"Almonte, Robert R.",United States Marshal for the Western District of Texas,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),03/25/2010,,05-12-10,1,
"Martin, Jerry E.",United States Attorney for the Middle District of Tennessee,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),03/25/2010,,05-12-10,1,
"Carl, Loren",United States Marshal for the Eastern District of Kentucky,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),02-04-10,,05-12-10,1,
"Holt, Gerald S.",United States Marshal for the Western District of Virginia,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),02-04-10,,05-12-10,1,
"DeGuilio, Jon",United States District Judge for the Northern District of Indiana,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01/20/2010,,05-11-10,1,
"Black, Timothy S.",United States District Judge for the Southern District of Ohio,Federal Judiciary,Federal Judges (http://www.uscourts.gov),12/24/2009,,05-11-10,1,
"Memeger, Zane David",United States Attorney for the Eastern District of Pennsylvania,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),04/14/2010,,05-05-10,1,
"Ward, Paul",United States Marshal for the District of North Dakota,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),02/24/2010,,05-05-10,1,
"Fein, David",United States Attorney for the District of Connecticut,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),02-04-10,,05-05-10,1,
"Massanelli, Clifton",United States Marshal for the Eastern District of Arkansas,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),02-04-10,,05-05-10,1,
"Navarro, Gloria M.",United States District Judge for the District of Nevada,Federal Judiciary,Federal Judges (http://www.uscourts.gov),12/24/2009,,05-05-10,1,
"Freudenthal, Nancy",United States District Judge for the District of Wyoming,Federal Judiciary,Federal Judges (http://www.uscourts.gov),12-04-09,,05-05-10,1,
"Marshall, Jr., Denzil Price",United States District Judge for the Eastern District of Arkansas,Federal Judiciary,Federal Judges (http://www.uscourts.gov),12-03-09,,05-05-10,1,
"Limtiaco, Alicia Anne Garrido",United States Attorney for Guam and The Northern Mariana Islands,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),02/24/2010,,04/29/2010,1,
"Hale, David J.",United States Attorney for the Western District of Kentucky,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),01/20/2010,,04/29/2010,1,
"Harvey, Kerry",United States Attorney for the Eastern District of Kentucky,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),01/20/2010,,04/29/2010,1,
"Ferrer, Wifredo Antonio",United States Attorney for the Southern District of Florida,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),02/24/2010,,04/22/2010,1,
"Lynch, Loretta",United States Attorney for the Eastern District of New York,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),01/20/2010,,04/22/2010,1,
"Munoz, Peter",United States Marshal for the Western District of Michigan,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),01/20/2010,,04/22/2010,1,
"Nesbit, Kelly",United States Marshal for the Western District of North Carolina,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),01/20/2010,,04/22/2010,1,
"Underwood, Brian",United States Marshal for the District of Idaho,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),01/20/2010,,04/22/2010,1,
"Capp, David A.",United States Attorney for the Northern District of Indiana,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),12/23/2009,,04/22/2010,1,
"March, Noel Culver",United States Marshal for the District of Maine,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),12/23/2009,,04/22/2010,1,
"Tompkins, Anne M.",United States Attorney for the Western District of North Carolina,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),12/23/2009,,04/22/2010,1,
"White, George",United States Marshal for the Southern District of Mississippi,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),12/23/2009,,04/22/2010,1,
"Nettles, William N.",United States Attorney for the District of South Carolina,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),12/22/2009,,04/22/2010,1,
"Chin, Denny",United States Circuit Judge for the Second Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),10-06-09,,04/22/2010,1,
"Vanaskie, Thomas I.",United States Circuit Judge for the Third Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),08-06-09,,04/21/2010,1,
"Nash, Stuart Gordon",Associate Judge of the Superior Court of the District of Columbia,District of Columbia Courts,D.C. Judges (http://www.dccourts.gov/dccourts/index.jsp),06-08-09,,04/20/2010,1,
"Demeo, Marisa Joseph",Associate Judge of the Superior Court of the District of Columbia,District of Columbia Courts,D.C. Judges (http://www.dccourts.gov/dccourts/index.jsp),03/24/2009,,04/20/2010,1,
"Hoye, Christopher",United States Marshal for the District of Nevada,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),01/20/2010,,03/19/2010,1,
"Washington, Kelvin Corneilius",United States Marshal for the District of South Carolina,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),12/22/2009,,03/19/2010,1,
"Thompson, O. Rogeriee",United States District Judge for the District of Rhode Island,Federal Judiciary,Federal Judges (http://www.uscourts.gov),10-06-09,,03/17/2010,1,
"Thomas-Greenfield, Linda","Member, Board of Directors",African Development Foundation,ADVBD (http://www.adf.gov),06/16/2015,1,,FALSE,FALSE
"Hochul, William Joseph",United States Attorney for the Western District of New York,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),12/23/2009,,03-10-10,1,
"Yates, Sally Quillian",United States Attorney for the Northern District of Georgia,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),12/23/2009,,03-10-10,1,
"May, Genevieve Lynn",United States Marshal for the Eastern District of Louisiana,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),07/31/2009,,03-10-10,1,
"Conley, William M.",United States District Judge for the Western District of Wisconsin,Federal Judiciary,Federal Judges (http://www.uscourts.gov),10/29/2009,,03-04-10,1,
"Keenan, Barbara Milano",United States Circuit Judge for the Fourth Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),09/14/2009,,03-02-10,1,
"Birotte, André",United States Attorney for the Central District of California,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),12/23/2009,,02-11-10,1,
"Hartunian, Richard",United States Attorney for the Northern District of New York,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),12/23/2009,,02-11-10,1,
"Machen, Ronald C.",United States Attorney for the District of Columbia,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),12/23/2009,,02-11-10,1,
"Jackson, Ketanji Brown",Member (Designated Vice Chairman 2/12/10),United States Sentencing Commission,USSC (http://www.ussc.gov),07/23/2009,,02-11-10,1,
"Greenaway, Joseph A.",United States Circuit Judge for the Third Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/19/2009,,02-09-10,1,
"Richardson, Willie Lee",United States Marshal for the Middle District of Georgia,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),11/30/2009,,02-02-10,1,
"Heun, Robert William",United States Marshal for the District of Alaska,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),11-04-09,,02-02-10,1,
"Peterson, Rosanna Malouf",United States District Judge for the Eastern District of Washington,Federal Judiciary,Federal Judges (http://www.uscourts.gov),10/13/2009,,01/25/2010,1,
"Martin, Beverly Baldwin",United States Circuit Judge for the Eleventh Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/19/2009,,01/20/2010,1,
"Crofts, Christopher A.",United States Attorney for the District of Wyoming,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),11/30/2009,,12/24/2009,1,
"McQuade, Barbara L.",United States Attorney for the Eastern District of Michigan,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),11/30/2009,,12/24/2009,1,
"Santelle, James L.",United States Attorney for the Eastern District of Wisconsin,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),11/30/2009,,12/24/2009,1,
"Gibbons, John",United States Marshal for the District of Massachusetts,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),11-04-09,,12/24/2009,1,
"Lubinski, Sharon",United States Marshal for the District of Minnesota,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),10/13/2009,,12/24/2009,1,
"Coats, Sanford",United States Attorney for the Western District of Oklahoma,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),09/30/2009,,12/24/2009,1,
"Kammerzell, John Leroy",United States Marshal for the District of Colorado,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),09/30/2009,,12/24/2009,1,
"Martinez, Mark Anthony",United States Marshal for the District of Nebraska,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),09/30/2009,,12/24/2009,1,
"Smith, Stephen F.",United States Marshal for the Southern District of Georgia,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),09/30/2009,,12/24/2009,1,
"Callahan, Richard",United States Attorney for the Eastern District of Missouri,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),09/25/2009,,12/24/2009,1,
"Riley, Robert Annan",Ambassador to the Federated States of Micronesia,Department of State,DOS (http://www.state.gov),11-09-15,,,FALSE,FALSE
"Cotter, Michael",United States Attorney for the District of Montana,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),09/25/2009,,12/24/2009,1,
"Gee, Dolly M.",United States District Judge for the Central District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),08-06-09,,12/24/2009,1,
"Seeborg, Richard G.",United States District Judge for the Northern District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),08-06-09,,12/24/2009,1,
"Reiss, Christina",United States District Judge for the District Vermont,Federal Judiciary,Federal Judges (http://www.uscourts.gov),10/13/2009,,11/21/2009,1,
"Klinefeldt, Nicholas",United States Attorney for the Southern District of Iowa,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),09/25/2009,,11/21/2009,1,
"Brown, Kenyen",United States Attorney for the Southern District of Alabama,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),08-06-09,,11/21/2009,1,
"Kallon, Abdul K.",United States District Judge for the Northern District of Alabama,Federal Judiciary,Federal Judges (http://www.uscourts.gov),07/31/2009,,11/21/2009,1,
"Hamilton, David",United States Circuit Judge for the Seventh Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),03/17/2009,,11/19/2009,1,
"Honeywell, Charlene Edwards",United States District Judge for the Middle District of Florida,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/24/2009,,11-09-09,1,
"Davis, Andre",United States Circuit Judge for the Fourth Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),04-02-09,,11-09-09,1,
"Ortiz, Carmen",United States Attorney for the District of Massachusetts,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),09/17/2009,,11-05-09,1,
"Tarver, Edward",United States Attorney for the Southern District of Georgia,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),09/17/2009,,11-05-09,1,
"Wagner, Benjamin",United States Attorney for the Eastern District of California,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),08-06-09,,11-05-09,1,
"Berger, Irene Cornelia",United States District Judge for the Southern District of West Virginia,Federal Judiciary,Federal Judges (http://www.uscourts.gov),07-08-09,,10/27/2009,1,
"Lange, Roberto A.",United States District Judge for the District of South Dakota,Federal Judiciary,Federal Judges (http://www.uscourts.gov),07-08-09,,10/21/2009,1,
"O'Donnell, Steve",United States Marshal for the District of Rhode Island,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),08-06-09,,10/15/2009,1,
"Johnson, Brendan",United States Attorney for the District of South Dakota,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),07/14/2009,,10/15/2009,1,
"Loeffler, Karen",United States Attorney for the District of Alaska,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),07/14/2009,,10/15/2009,1,
"Cargill, David",United States Marshal for the District of New Hampshire,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),07/31/2009,,10/14/2009,1,
"Heaphy, Tim John",United States Attorney for the Western District of Virginia,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),07/31/2009,,10/14/2009,1,
"Fishman, Paul Joseph",United States Attorney for the District of New Jersey,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),06-04-09,,10-07-09,1,
"Gilg, Deborah",United States Attorney for the District of Nebraska,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),07/31/2009,,09/29/2009,1,
"Nakakuni, Florence",United States Attorney for the District of Hawaii,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),07/14/2009,,09/29/2009,1,
"Viken, Jeffrey L.",United States District Judge for the District of South Dakota,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/24/2009,,09/29/2009,1,
"Durkan, Jenny",United States Attorney for the Western District of Washington,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),06-04-09,,09/29/2009,1,
"MacBride, Neil Harvey",United States Attorney for the Eastern District of Virginia,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),08-06-09,,09/15/2009,1,
"Bogden, Daniel",United States Attorney for the District of Nevada,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),07/31/2009,,09/15/2009,1,
"Nehrona, Peter",United States Attorney for the District of Rhode Island,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),07/31/2009,,09/15/2009,1,
"Burke, Dennis",United States Attorney for the District of Arizona,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),07/14/2009,,09/15/2009,1,
"Dettelbach, Steven",United States Attorney for the Northern District of Ohio,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),07/14/2009,,09/15/2009,1,
"Stewart, Carter Mitchell",United States Attorney for the Southern District of Ohio,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),07/14/2009,,09/15/2009,1,
"Demag, David",United States Marshal for the District of Vermont,"U.S. Marshals Service, Department of Justice",DOJ-USM (http://www.usmarshals.gov),07/31/2009,,08-07-09,1,
"Bharara, Preet",United States Attorney for the Southern District of New York,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),06-04-09,,08-07-09,1,
"Coffin, Tristram",United States Attorney for the District of Vermont,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),06-04-09,,08-07-09,1,
"Jones, B. Todd",United States Attorney for the District of Minnesota,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),06-04-09,,08-07-09,1,
"Kacavas, Jon",United States Attorney for the District of New Hampshire,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),06-04-09,,08-07-09,1,
"Vance, Joyce",United States Attorney for the Northern District of Alabama,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),06-04-09,,08-07-09,1,
"Sotomayor, Sonia",Associate Justice of the Supreme Court of the United States,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06-01-09,,08-06-09,1,
"Pan, Florence Y.",Associate Judge of the Superior Court of the District of Columbia,District of Columbia Courts,D.C. Judges (http://www.dccourts.gov/dccourts/index.jsp),03/24/2009,,05/21/2009,1,
"Wingo, Elizabeth Carroll",Associate Judge of the Superior Court of the District of Columbia,District of Columbia Courts,D.C. Judges (http://www.dccourts.gov/dccourts/index.jsp),11/30/2015,,,,
"Berk, Steven Nathan",Associate Judge of the Superior Court of the District of Columbia,District of Columbia Courts,D.C. Judges (http://www.dccourts.gov/dccourts/index.jsp),11/30/2015,,,,
"Boulware II, Richard Franklin","Member, United States Sentencing Commission",United States Sentencing Commission,USSC (http://www.ussc.gov),10-09-15,,,,
"Phillips, Channing ",United States Attorney for the District of Columbia,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),10-08-15,,,,
"Boente, Dana J.",United States Attorney for the Eastern District of Virginia,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),10-08-15,,12/15/2015,1,
"Capers, Robert L.",United States Attorney for the Eastern District of New York,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),10-08-15,,12/15/2015,1,
"Rice, Emily Gray",United States Attorney for the District of New Hampshire,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),10-08-15,,12/15/2015,1,
"Seiler, Randolph J.",United States Attorney for the District of South Dakota,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),10-08-15,,,,
